Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
4/7/15,81.940002,82.949997,81.879997,82.209999,82.209999,9443000,0.004766549,Up,83.11107865,84.25318023,-1.142101578,-1.195875577,37.0490743,9.844557885,17.66424291
4/8/15,83.300003,85.540001,83.066002,85.389999,85.389999,26161500,0.038681426,Up,83.46168178,84.33738903,-0.875707246,-1.13184191,42.11793585,16.58029075,14.73804006
4/9/15,87.029999,87.690002,85.199997,86.139999,86.139999,27800400,0.00878323,Up,83.87373059,84.47091569,-0.597185108,-1.02491055,53.62313035,71.50256105,32.64246989
4/10/15,86.68,86.690002,84.150002,84.580002,84.580002,18300300,-0.018110019,Down,83.98238773,84.47899616,-0.496608434,-0.919250127,53.46183768,75.93163791,54.67149657
4/13/15,85.160004,85.709999,83.82,84.279999,84.279999,15797100,-0.003546973,Down,84.02817408,84.46425563,-0.436081554,-0.822616412,47.56823167,51.70808953,66.38076283
4/14/15,84.629997,85.129997,83.529999,85,85,11798800,0.008542964,Up,84.17768576,84.5039404,-0.326254642,-0.723344058,50.51940952,47.0496593,58.22979558
4/15/15,85.080002,85.360001,84.160004,84.669998,84.669998,12225800,-0.003882376,Down,84.2534261,84.51624096,-0.26281486,-0.631238218,57.34527127,58.22979558,52.32918147
4/16/15,85.150002,85.400002,83.889999,84.059998,84.059998,12048600,-0.007204441,Down,84.22366793,84.48244519,-0.258777254,-0.556746025,55.31150028,53.10554251,52.79499913
4/17/15,83.080002,83.25,81.610001,81.900002,81.900002,22653200,-0.025695885,Down,83.86618087,84.2911531,-0.424972233,-0.530391267,49.9089116,43.63349577,51.65627795
4/20/15,82.25,82.690002,81.519997,82.199997,82.199997,13439400,0.003662943,Up,83.60984489,84.13625265,-0.52640776,-0.529594566,40.41308076,10.09319562,35.61074463
4/21/15,82.860001,82.919998,82.139999,82.419998,82.419998,10056000,0.002676411,Up,83.42679152,84.00912267,-0.582331154,-0.540141883,43.81582021,14.75150163,22.82606434
4/22/15,82.779999,82.839996,81.519997,82.050003,82.050003,13316900,-0.004489141,Down,83.2149779,83.8640027,-0.649024796,-0.561918466,46.81998238,18.16766517,14.33745414
4/23/15,81.879997,82.75,81.620003,82.279999,82.279999,11483300,0.00280312,Up,83.07113499,83.74666909,-0.675534097,-0.584641592,49.16667663,12.42240297,15.11385659
4/24/15,82.879997,84.989998,82.800003,84.57,84.57,21058400,0.027831806,Up,83.30172961,83.80765656,-0.505926955,-0.568898665,50.35213794,12.31768856,14.30258557
4/27/15,85.529999,86.269997,84.650002,84.900002,84.900002,17434200,0.003902117,Up,83.54761767,83.88857104,-0.340953372,-0.523309606,60.29667445,49.43274762,24.72427972
4/28/15,85.540001,85.57,83.82,85.080002,85.080002,11110500,0.002120141,Up,83.78336911,83.97682519,-0.193456082,-0.457338901,60.32830161,54.781236,38.84389073
4/29/15,84.059998,84.400002,81.639999,82.449997,82.449997,21098000,-0.030912141,Down,83.57823494,83.8637268,-0.285491867,-0.422969494,47.70069641,57.69857561,53.97085308
4/30/15,82.220001,82.650002,80.440002,81.290001,81.290001,14209700,-0.014069085,Down,83.22619895,83.67308045,-0.446881502,-0.427751896,31.62049441,17.98837719,43.48939626
5/1/15,81.029999,82.25,80.110001,81.169998,81.169998,17910500,-0.001476233,Down,82.90986034,83.48766693,-0.577806594,-0.457762836,36.15353591,14.57975521,30.08890267
5/4/15,81.169998,81.559998,80.120003,80.589996,80.589996,21551500,-0.007145522,Down,82.55295813,83.27302464,-0.720066509,-0.51022357,35.3930203,17.20775468,16.59196236
5/5/15,80.440002,80.900002,77.769997,79.540001,79.540001,32661900,-0.01302885,Down,82.08942627,82.99650437,-0.907078105,-0.589594477,26.37799241,7.792131683,13.19321386
5/6/15,79.650002,80.849998,79.510002,80,80,24953500,0.005783241,Up,81.76797607,82.77454108,-1.006565013,-0.672988584,30.86686808,20.82357647,15.27448761
